Club,Profit,Points,Manager Salary(€M),Expenditure(€M),Seasons in Premiere League,Club Rating
Liverpool,152425146,93,24,10.40,28,85
Manchester City,150986355,75,27,166.82,23,85
Chelsea,146030216,63,7.5,45.00,28,81
Leicester City,123328078,62,9.1,104.30,14,79
Manchester United,142193180,62,8.3,214.00,28,81
Wolverhampton Wanderers,127165114,59,8,121.80,6,78
Tottenham Hotspur,145230801,58,23,148.50,28,82
Sheffield United,96628865,54,3.0,69.00,4,75
Burnley,107340558,54,3.6,19.40,6,76
Arsenal,142193180,53,6.5,160.40,28,80
